utc_timestamp,DEU,ITA,CHE
2016-09-15,-462.7343179842023,-362.65475805284825,-57.968686953469486
2016-09-16,-511.7659648254138,-386.5224107296815,-77.937897414256
2016-09-17,-596.2552828432144,-412.1632064124117,-106.5226834896473
2016-09-18,-672.7802058520435,-436.9834910576191,-122.30638928882563
2016-09-19,-841.9302958068765,-444.59250439954906,-124.95818689377487
2016-09-20,-965.6450541967221,-449.9814018153315,-133.98459743282825
2016-09-21,-1010.7910253696281,-477.1915645951565,-140.7133846398131
2016-09-22,-962.86635430967,-486.215615671136,-128.1884689364535
2016-09-23,-876.751193273983,-476.24890108777566,-117.7075225893593
2016-09-24,-828.9204547137695,-468.47102505448976,-105.98086673609006
2016-09-25,-721.6967620949409,-450.00141652418887,-92.10279633891389
2016-09-26,-728.0382153087821,-449.65943618392066,-92.26155300850962
2016-09-27,-734.9369389087345,-460.1701867716977,-98.68382866487012
2016-09-28,-698.5790214048377,-454.0145926410638,-94.20451213476116
2016-09-29,-639.3553914837247,-446.0788230549612,-88.94790272846869
2016-09-30,-709.5815139961525,-451.99316515160604,-86.09626706953581
2016-10-01,-851.2386315264429,-455.78356998699957,-96.91925849852932
